user_name,is_expert_reviewer,user_level,user_id,skin_types,age_range,is_repurchase,is_recommended,star_effectiveness,star_packaging,star_texture,star_value_for_money,source,created_at,total_likes,is_verified_purchase,details,duration_of_used,product_id,product_name,product_size,_source_file
liaciacia,False,Rising Star,613662e13165191b8ae13302,,25 - 29 th,yes,yes,5.0,5,5.0,5,review-android,2023-10-20T02:48:53.820Z,0,True,"Baru pake ini kurang dari seminggu, kulit wajah juga terasa lembap sesudah pemakaian, lalu tidak ada sama sekali white cast. bagus buat kulit yg kering ky aku..",Less than 1 Week,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml,review_19048_12094-aloe-soothing-sun-cream-spf-50-pa.csv
charissasalsa,False,Rising Star,5f1972aec9bc5f331a7df5a1,Kulit Kering;Kulit Kombinasi;Stretch Mark;Pori Besar;Kulit Kusam;Kantung Mata;Dark Circle;Komedo,19 - 24 th,yes,yes,5.0,5,5.0,5,review-ios,2023-10-20T01:19:14.911Z,0,True,"sunscreen yang cocok di aku soalnya teksturnya gampang diblend trs aku tipikal yang gasuka kalo ada tone up nya jadi buat yg suka ga tone up kyk aku, i very recommend it",1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml,review_19048_12094-aloe-soothing-sun-cream-spf-50-pa.csv
Shintanovella,False,Rising Star,5dcbdd68bb49a23182299d5b,Kulit Sensitif;Flek,35 - 39 th,yes,yes,5.0,5,5.0,5,review-android,2023-10-19T13:48:50.121Z,0,True,hdhwuiwd  fej u u ucddddd   fjsjsjcuy ysjwjj   vhdhsjisici   chsjjwiskck   jsjajcch   aahjsjckkvk   sahsjjd   sjajsjkfkjvjj j   djajjsjdjfjjj   jsjsjfjvjj,1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml,review_19048_12094-aloe-soothing-sun-cream-spf-50-pa.csv
negravas,False,Rising Star,63f76093a4eaea31ce05b295,Kulit Kombinasi;Jerawat;Flek;Pori Besar;Kulit Kusam,30 - 34 th,maybe,yes,4.0,5,4.0,4,review-android,2023-10-19T06:30:56.347Z,0,True,"Sunscreen-nya bagus sih. Fungsi utamanya sebagai pelindung dari matahari dapet. Gampang diratain juga. Cuma terlalu berminyak buat kulit aku. Jdi kadang aku ga pake pelembab, langsung pake ini udah berasa ada pelembabnya. Ya, di tubenya juga disebut kata ""hydrating"" sih.",3 - 6 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml,review_19048_12094-aloe-soothing-sun-cream-spf-50-pa.csv
viviimroatin28,False,Super Star,5e762dcf2ac496d6b4d0b5ab,,25 - 29 th,yes,yes,5.0,5,5.0,5,review-android,2023-10-19T03:22:23.943Z,0,True,"Salah satu soothing sun cream yg selalu aku pakai sebelum make up, cocok bgt untuk yg mau make up sat set krn dia udh nglembapin..ngebantu bgt kalo gaa sempet pake moist...",3 - 6 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,,review_19048_12094-aloe-soothing-sun-cream-spf-50-pa.csv
AlvitaHartanti,False,Rising Star,5fa5019f4fe45e4e0ebc1376,Kulit Kombinasi;Jerawat;Pori Besar;Kantung Mata;Komedo,19 - 24 th,yes,yes,5.0,5,5.0,5,review-ios,2023-10-17T15:12:28.733Z,0,True,udah repurchase keberapa kalinya sun cream cosrx satu ini🫶🏻 sun cream ini ga neko2 dan ngelembabin juga karna aloe soothing 👍🏻 dan termasuk awet bisa sampai 1-3 bulan.,More than 1 Year,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml,review_19048_12094-aloe-soothing-sun-cream-spf-50-pa.csv
sylviaargo,False,Rising Star,64ac4c7e91a9ac314735b02e,Cellulite;Stretch Mark;Jerawat;Aging;Kulit Kombinasi,25 - 29 th,maybe,yes,5.0,5,5.0,5,review-android,2023-10-17T12:45:02.341Z,0,True,"pertamanya ccok aja mungkin kulitku terlalu sensitive, so kemudian tumbuh jerawat. jadi aku kasih deh ke adik dan dia cocok aja si sejauh ini dan saat apply katanya si tampak glossy",Less than 1 Week,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml,review_19048_12094-aloe-soothing-sun-cream-spf-50-pa.csv
tbtdd,False,Super Star,5e4f63bd70c93c0c41b76f65,Kulit Berminyak;Jerawat;Pori Besar;Kulit Kusam;Komedo,25 - 29 th,yes,yes,5.0,5,4.0,5,review-android,2023-10-17T06:40:55.456Z,0,True,"Buat kulitku yang agak berminyak, sunscreen ini cocok dan nggak bikin tambah oily karena kulit juga jadi lembab. teksturnya creamy tapi mudah menyerap dan nggak white cast. udah berkali-kali repurchase.",1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml,review_19048_12094-aloe-soothing-sun-cream-spf-50-pa.csv
gracetambunan,False,Diva Star,60b265bad395b4b9fb055532,,25 - 29 th,yes,yes,5.0,5,5.0,5,soco-web-desktop,2023-10-17T06:01:46.651Z,0,True,"sukaa bgtt, gak oksidasi dan bikin wajah lebih gelap setelah implentasi. mudah menyerap di kulit berminyak, ada sedikit bgt whitecast, tp jadi lebih mudah build up ke cushion or foundation. gak bikin make up cakey. sukaakk bgttt",6 Months - 1 Year,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml,review_19048_12094-aloe-soothing-sun-cream-spf-50-pa.csv
AldaKinthan,False,Rising Star,5ef77631a1478c70919d07e1,Kulit Kombinasi;Kulit Kusam;Kantung Mata;Dark Circle,19 - 24 th,yes,yes,5.0,5,5.0,5,review-ios,2023-10-16T14:27:09.932Z,0,True,"Sunscreen terenak yang pernah aku pake, bener-bener bikin kulit wajah lembab tanpa whitecase. Ga lupa juga wanginya yang enak bgtt dan juga teksurnya yg enak bgt bikin ringan diwajahhh🥰",1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml,review_19048_12094-aloe-soothing-sun-cream-spf-50-pa.csv
