brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist
558_cosrx,Clear Fit Master Patch,19386,10,Rp 59.000,"""18 patches"": 59000",https://www.sociolla.com/acne-pimple-patch/15019-clear-fit-master-patch,2022-12-08T04:19:24.368Z,Acne / Pimple Patch,Chăm sóc da; Chăm sóc chuyên sâu; Miếng dán mụn,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.584848484848485,1320,"""star_effectiveness"": 4.567424242424242; ""star_packaging"": 4.7295454545454545; ""star_texture"": 4.678787878787879; ""star_value_for_money"": 4.363636363636363",1245,215,73,1032,3208
558_cosrx,Acne Pimple Master Patch,6382,10,Rp 59.000,"""Non Specify"": 59000",https://www.sociolla.com/acne-pimple-patch/15018-acne-pimple-master-patch,2022-05-27T17:41:25.162Z,Acne / Pimple Patch,Chăm sóc da; Chăm sóc chuyên sâu; Miếng dán mụn,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.522201538663379,5575,"""star_effectiveness"": 4.54297655824096; ""star_packaging"": 4.679282511210762; ""star_texture"": 4.558026905829596; ""star_value_for_money"": 4.308520179372198",5221,1072,360,4143,10483
558_cosrx,Acne Pimple + Clear Fit Patch,69754,20,Rp 118.000,,https://www.sociolla.com/acne-pimple-patch/16816-acne-pimple-clear-fit-patch,2022-05-14T13:24:40.481Z,Acne / Pimple Patch,Skincare; Treatment; Acne / Pimple Patch,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.604623877895154,176,"""star_effectiveness"": 4.615384615384615; ""star_packaging"": 4.784090909090909; ""star_texture"": 4.609929078014185; ""star_value_for_money"": 4.409090909090909",167,29,9,138,3129
558_cosrx,Oily Skin Bundle,84298,90,Rp 454.900,,https://www.sociolla.com/default-category/55956-oily-skin-bundle,2022-09-01T04:25:57.035Z,Skin Care Set,Skincare; Skin Care Set; Skin Care Set,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,5.0,1,"""star_effectiveness"": 5; ""star_packaging"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",1,0,0,1,3402
558_cosrx,Advanced Snail Mucin Gel Cleanser,91697,50,Rp 290.000,"""150ml"": 290000",https://www.sociolla.com/face-wash/63355-advanced-snail-mucin-gel-cleanser,2022-08-25T04:05:07.337Z,Face Wash,Skincare; Cleanser; Face Wash,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.698453608247423,97,"""star_effectiveness"": 4.742268041237113; ""star_packaging"": 4.88659793814433; ""star_texture"": 4.804123711340206; ""star_value_for_money"": 4.360824742268041",95,11,2,84,837
558_cosrx,Salicylic Acid Daily Gentle Cleanser,19703,30,Rp 155.000,"""150 ml"": 155000",https://www.sociolla.com/face-wash/9206-salicylic-acid-daily-gentle-cleanser,2022-05-12T03:45:14.261Z,Face Wash,Skincare; Cleanser; Face Wash,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.609827009739788,6879,"""star_effectiveness"": 4.5836604157581045; ""star_packaging"": 4.721471144061637; ""star_texture"": 4.711004506468964; ""star_value_for_money"": 4.423171972670446",6547,1129,496,5254,17237
558_cosrx,Low pH Good Morning Cleanser,6400,30,Rp 65.000 - Rp 155.000,"""150 ml"": 155000; ""50ml"": 65000",https://www.sociolla.com/cleansing-gel/9205-low-ph-good-morning-cleanser,2022-05-01T23:41:55.652Z,Cleansing Gel,Skincare; Cleanser; Cleansing Gel,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.642205930094145,18482,"""star_effectiveness"": 4.632723731197922; ""star_packaging"": 4.693918407098799; ""star_texture"": 4.770641705443134; ""star_value_for_money"": 4.471539876636728",17763,2486,1019,14977,58568
558_cosrx,Oil Free Ultra Moisturizing Lotion (with Birch Sap),20786,50,Rp 299.900,"""100 ml"": 299900",https://www.sociolla.com/face-cream-lotion/9593-oil-free-ultra-moisturizing-lotion-with-birch-sap,2022-05-12T02:17:18.496Z,Face Cream & Lotion,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.633726041849833,5687,"""star_effectiveness"": 4.592227888165993; ""star_packaging"": 4.809038157200633; ""star_texture"": 4.724459293124671; ""star_value_for_money"": 4.409178828908036",5435,966,375,4346,27328
558_cosrx,Aloe Soothing Sun Cream SPF 50+ PA+++,19048,30,Rp 199.900,"""50 ml"": 199900",https://www.sociolla.com/sunscreen/12094-aloe-soothing-sun-cream-spf-50-pa,2022-12-27T08:16:54.668Z,Sunscreen,Skincare; Sunscreen; Sun Care,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.6232825625062866,5826,"""star_effectiveness"": 4.676577355229041; ""star_packaging"": 4.770339855818744; ""star_texture"": 4.639930855661193; ""star_value_for_money"": 4.4062821833161685",5579,998,336,4492,22061
558_cosrx,The Vitamin C 23 Serum,97274,50,Rp 275.000,"""20 gr"": 275000",https://www.sociolla.com/face-serum/68932-the-vitamin-c-23-serum,2022-11-16T16:35:16.198Z,Face Serum,Skincare; Treatment; Face Serum,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.62012987012987,385,"""star_effectiveness"": 4.584415584415584; ""star_packaging"": 4.812987012987013; ""star_texture"": 4.667532467532467; ""star_value_for_money"": 4.415584415584416",354,82,40,263,2975
558_cosrx,The Niacinamide 15 Serum,97269,50,Rp 275.000,"""20ml"": 275000",https://www.sociolla.com/face-serum/68927-the-niacinamide-15-serum,2022-11-16T16:32:15.638Z,Face Serum,Skincare; Treatment; Face Serum,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.649484536082474,290,"""star_effectiveness"": 4.628865979381444; ""star_packaging"": 4.821305841924398; ""star_texture"": 4.776632302405498; ""star_value_for_money"": 4.371134020618556",279,53,13,225,2229
558_cosrx,Hydrium Watery Toner,72704,40,Rp 109.000 - Rp 245.000,"""150 ml"": 245000; ""50 ml"": 109000",https://www.sociolla.com/toner/25884-hydrium-watery-toner,2022-05-13T06:25:08.025Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.6374900079936054,1251,"""star_effectiveness"": 4.59392486011191; ""star_packaging"": 4.742605915267786; ""star_texture"": 4.7753796962430055; ""star_value_for_money"": 4.438049560351718",1199,261,72,918,6522
558_cosrx,Advanced Snail 92 All in One Cream,6383,60,Rp 329.000,"""100 ml"": 329000",https://www.sociolla.com/face-cream-lotion/10276-advanced-snail-92-all-in-one-cream,2022-04-30T15:48:56.320Z,Face Cream & Lotion,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.526072329688814,3578,"""star_effectiveness"": 4.658536585365853; ""star_packaging"": 4.4219231847490885; ""star_texture"": 4.585646201289599; ""star_value_for_money"": 4.438183347350715",3384,655,240,2672,17632
558_cosrx,Vitamin E Vitalizing Sunscreen,101739,70,Rp 350.000,"""50 ml"": 350000",https://www.sociolla.com/sunscreen/73397-vitamin-e-vitalizing-sunscreen,2023-04-06T11:34:12.256Z,Sunscreen,Skincare; Sun Care; Sunscreen,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.642857142857142,14,"""star_effectiveness"": 4.785714285714286; ""star_packaging"": 4.785714285714286; ""star_texture"": 4.571428571428571; ""star_value_for_money"": 4.428571428571429",13,2,1,11,23
558_cosrx,Total Hydration Care - The Hyaluronic Acid 3 Serum Low pH Good Morning Cleanser,99998,80,Rp 424.000,,https://www.sociolla.com/skincare/71656-total-hydration-care-the-hyaluronic-acid-3-serum-low-ph-good-morning-cleanser,2022-11-15T10:36:42.112Z,Skincare,Skincare; Skin Care Set,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,99
558_cosrx,Total Acne Care - The Niacinamide 15 Serum Low pH Good Morning Cleanser,99996,80,Rp 424.000,,https://www.sociolla.com/default-category/71654-total-acne-care-the-niacinamide-15-serum-low-ph-good-morning-cleanser,2022-11-15T10:36:30.726Z,Skin Care Set,Skincare; Skin Care Set; Skin Care Set,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,141
558_cosrx,Skintelligent  Solution Kit,84676,70,Rp 355.000,,https://www.sociolla.com/skin-care-set/56334-favorite-bundle-set-regular-pack,2022-09-01T04:26:39.862Z,Skin Care Set,Skincare; Skin Care Set,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.625,4,"""star_effectiveness"": 4.75; ""star_packaging"": 4.75; ""star_texture"": 4.5; ""star_value_for_money"": 4.5",4,2,0,2,8010
558_cosrx,Dry Skin Bundle,84299,70,Rp 354.900,,https://www.sociolla.com/skin-care-set/55957-dry-skin-bundle,2022-09-01T04:23:37.353Z,Skin Care Set,Skincare; Skin Care Set,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,5.0,1,"""star_effectiveness"": 5; ""star_packaging"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",1,0,0,1,2739
558_cosrx,Exfoliating + Hydrating,84301,110,Rp 585.000,,https://www.sociolla.com/default-category/55959-exfoliating-hydrating,2022-11-10T14:51:40.347Z,Skin Care Set,Skincare; Skin Care Set; Skin Care Set,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,1164
558_cosrx,AHA/BHA Clarifying Treatment Toner set of 2,78974,80,Rp 400.000,,https://www.sociolla.com/toner/50632-aha-bha-clarifying-treatment-toner-set-of-2,2022-07-18T11:03:50.617Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.888888888888889,9,"""star_effectiveness"": 4.777777777777778; ""star_packaging"": 5; ""star_texture"": 4.777777777777778; ""star_value_for_money"": 5",9,1,0,8,3678
558_cosrx,AHA/BHA Clarifying Treatment Toner,6386,40,Rp 200.000,"""150 ml"": 200000",https://www.sociolla.com/toner/9207-aha-bha-clarifying-treatment-toner,2022-08-09T10:58:03.787Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.518353078613938,18617,"""star_effectiveness"": 4.4198161389172625; ""star_packaging"": 4.678465918246764; ""star_texture"": 4.695063651501316; ""star_value_for_money"": 4.280066605790407",17474,4260,1699,12658,53718
558_cosrx,AC Collection Acne Patch,63042,10,Rp 99.000,"""26 Patches"": 99000",https://www.sociolla.com/acne-blemish-treatments/43206-ac-collection-acne-patch,2022-06-15T03:15:37.262Z,Acne / Pimple Patch,Skincare; Treatment; Acne / Pimple Patch,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.627064220183486,545,"""star_effectiveness"": 4.682568807339449; ""star_packaging"": 4.781651376146789; ""star_texture"": 4.715596330275229; ""star_value_for_money"": 4.328440366972477",516,81,32,432,2630
558_cosrx,Centella Water Alcohol-Free Toner,6392,40,Rp 215.000,"""150 ml"": 215000",https://www.sociolla.com/toner/10271-centella-water-alcohol-free-toner,2023-08-01T03:55:10.196Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.5748576604554865,3864,"""star_effectiveness"": 4.476190476190476; ""star_packaging"": 4.728778467908903; ""star_texture"": 4.762939958592132; ""star_value_for_money"": 4.331521739130435",3641,825,289,2750,18033
